商品コード,カテゴリID
301412002,129
301412003,129
301412004,129
301412005,129
301412008,129
301412011,129
301412020,129
301412027,129
301412029,129
301412032,129
301412033,129
301412039,129
301412052,129
301412053,129
301412065,129
301412069,129
301412071,129
301412072,129
301412074,129
301412079,129
301412081,129
301412084,129
301412089,129
301412090,129
301412091,129
301412096,129
301412097,129
301412098,129
301412099,129
301412104,129
301412105,129
301412106,129
301412107,129
301412108,129
301412109,129
301412110,129
301412111,129
301412112,129
301412113,129
301412114,129
301412115,129
301412116,129
301412117,129
301412118,129
301412119,129
301412120,129
301412121,129
301412122,129
301412124,129
301412125,129
301412126,129
301412127,129
301412128,129
301412129,129
301412130,129
301412131,129
301412132,129
301412133,129
301412134,129
301412135,129
301412136,129
301412137,129
301412138,129
301412139,129
301412140,129
301412141,129
301412142,129
301412143,129
301412144,129
301412145,129
301412146,129
301412147,129
301412148,129
301412149,129
301412150,129
301412151,129
301412152,129
301412153,129
301412154,129
301412155,129
301412156,129
301412157,129
301412158,129
301412159,129
301412160,129
301412161,129
301412163,129
301412164,129
301412165,129
301412166,129
301412167,129
301412168,129
301412169,129
301412170,129
301412171,129
301431030,129
301431031,129
301431032,129
301431033,129
301431035,129
303042660,129
303042661,129
303044470,129
303044471,129
303046064,129
303047091,129
303051531,129
303051532,129
303051533,129
303051534,129
501013213,129
501025627,129
701000103,129
701000164,129
701000198,129
701000378,129
701000379,129
701000380,129
701000381,129
701000382,129
701000383,129
701000384,129
701000385,129
701000386,129
701000746,129
701000747,129
701000748,129
701000749,129
701000750,129
701000751,129
701000752,129
701000753,129
701000754,129
701000755,129
701000756,129
701000757,129
701000786,129
701000787,129
701000788,129
701000789,129
701000790,129
701000791,129
701000792,129
701000793,129
701000794,129
701000795,129
701000796,129
701000797,129
701000860,129
701000861,129
701000862,129
701000863,129
701000864,129
701000865,129
701000866,129
701000867,129
701000868,129
701000869,129
701000870,129
701000871,129
701000872,129
701000873,129
701000874,129
701000875,129
701000876,129
701000877,129
701000878,129
701000879,129
701000880,129
701000881,129
701000882,129
701000883,129
701001228,129
701001229,129
701001230,129
701001231,129
701001232,129
701001233,129
701001234,129
701001235,129
701001236,129
701001237,129
701001238,129
701001239,129
701001240,129
701001241,129
701001242,129
701001243,129
701001244,129
701001245,129
701001246,129
701001247,129
701001248,129
701001249,129
701001250,129
701001251,129
701001252,129
701001253,129
701001254,129
701001255,129
701001256,129
701001257,129
701001258,129
701001259,129
701001260,129
701001261,129
701001262,129
701001263,129
701001761,129
701001762,129
701001763,129
701001764,129
701001765,129
